year,state,state_abbr,growth_rank,in_migration_pct,out_migration_pct,net_migration_pct
2015,Alaska,AK,31.0,50.0,50.0,0.0
2016,Alaska,AK,28.0,49.9,50.1,-0.2000000000000028
2017,Alaska,AK,36.0,48.2,51.8,-3.5999999999999943
2018,Alaska,AK,31.0,49.9,50.1,-0.2000000000000028
2019,Alaska,AK,17.0,51.4,48.6,2.799999999999997
2020,Alaska,AK,34.0,50.0,50.0,0.0
2021,Alaska,AK,16.0,51.4,48.6,2.799999999999997
2022,Alaska,AK,41.0,48.6,51.4,-2.799999999999997
2023,Alaska,AK,34.0,49.3,50.7,-1.4000000000000057
2015,Alabama,AL,11.0,50.7,49.3,1.4000000000000057
2016,Alabama,AL,21.0,50.1,49.9,0.2000000000000028
2017,Alabama,AL,11.0,50.3,49.7,0.5999999999999943
2018,Alabama,AL,42.0,49.7,50.3,-0.5999999999999943
2019,Alabama,AL,6.0,50.3,49.7,0.5999999999999943
2020,Alabama,AL,22.0,50.2,49.8,0.4000000000000057
2021,Alabama,AL,46.0,49.6,50.4,-0.7999999999999972
2022,Alabama,AL,20.0,50.3,49.7,0.5999999999999943
2023,Alabama,AL,22.0,50.1,49.9,0.2000000000000028
2015,Arkansas,AR,8.0,51.2,48.8,2.4000000000000057
2016,Arkansas,AR,10.0,50.6,49.4,1.2000000000000028
2017,Arkansas,AR,3.0,50.9,49.1,1.7999999999999972
2018,Arkansas,AR,22.0,50.1,49.9,0.2000000000000028
2019,Arkansas,AR,23.0,50.1,49.9,0.2000000000000028
2020,Arkansas,AR,11.0,51.0,49.0,2.0
2021,Arkansas,AR,41.0,49.6,50.4,-0.7999999999999972
2022,Arkansas,AR,43.0,49.5,50.5,-1.0
2023,Arkansas,AR,17.0,50.1,49.9,0.2000000000000028
2015,Arizona,AZ,15.0,50.3,49.7,0.5999999999999943
2016,Arizona,AZ,46.0,49.4,50.6,-1.2000000000000028
2017,Arizona,AZ,43.0,49.7,50.3,-0.5999999999999943
2018,Arizona,AZ,23.0,50.1,49.9,0.2000000000000028
2019,Arizona,AZ,20.0,50.1,49.9,0.2000000000000028
2020,Arizona,AZ,5.0,50.3,49.7,0.5999999999999943
2021,Arizona,AZ,5.0,50.4,49.6,0.7999999999999972
2022,Arizona,AZ,7.0,50.3,49.7,0.5999999999999943
2023,Arizona,AZ,8.0,50.3,49.7,0.5999999999999943
2015,California,CA,5.0,50.6,49.4,1.2000000000000028
2016,California,CA,49.0,49.8,50.2,-0.4000000000000057
2017,California,CA,50.0,49.6,50.4,-0.7999999999999972
2018,California,CA,48.0,49.9,50.1,-0.2000000000000028
2019,California,CA,49.0,49.8,50.2,-0.4000000000000057
2020,California,CA,50.0,49.4,50.6,-1.2000000000000028
2021,California,CA,50.0,49.6,50.4,-0.7999999999999972
2022,California,CA,50.0,49.6,50.4,-0.7999999999999972
2023,California,CA,50.0,49.2,50.8,-1.5999999999999943
2015,Colorado,CO,22.0,50.2,49.8,0.4000000000000057
2016,Colorado,CO,11.0,50.3,49.7,0.5999999999999943
2017,Colorado,CO,11.0,50.3,49.7,0.5999999999999943
2018,Colorado,CO,16.0,50.1,49.9,0.2000000000000028
2019,Colorado,CO,42.0,49.7,50.3,-0.5999999999999943
2020,Colorado,CO,6.0,50.7,49.3,1.4000000000000057
2021,Colorado,CO,7.0,50.5,49.5,1.0
2022,Colorado,CO,11.0,50.3,49.7,0.5999999999999943
2023,Colorado,CO,9.0,50.2,49.8,0.4000000000000057
2015,Connecticut,CT,42.0,49.7,50.3,-0.5999999999999943
2016,Connecticut,CT,17.0,50.2,49.8,0.4000000000000057
2017,Connecticut,CT,8.0,50.6,49.4,1.2000000000000028
